Aligned_Seq,IDG_Dark,UniProt,Superfamily,Group,Family,Subfamily,Protein,WebLogo,Members
95735,,,PK,,,,,PK.png,PKA;AAK1;AATK;ABL1;ABL2;ACVR1;ACVR1B;ACVR1C;ACVR2A;ACVR2B;ACVRL1;AKT1;AKT2;AKT3;ALK;AMHR2;ANKK1;ARAF;AURKA;AURKB;AURKC;AXL;BLK;BMP2K;BMPR1A;BMPR1B;BMPR2;BMX;BRAF;BRSK1;BRSK2;BTK;BUB1;BUB1B;CAMK1;CAMK1D;CAMK1G;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CAMK4;CAMKK1;CAMKK2;CAMKV;CASK;CDC42BPA;CDC42BPB;CDC42BPG;CDC7;CDK1;CDK10;CDK11A;CDK11B;CDK12;CDK13;CDK14;CDK15;CDK16;CDK17;CDK18;CDK19;CDK2;CDK20;CDK3;CDK4;CDK5;CDK6;CDK7;CDK8;CDK9;CDKL1;CDKL2;CDKL3;CDKL4;CDKL5;CHEK1;CHEK2;CHUK;CIT;CLK1;CLK2;CLK3;CLK4;CSF1R;CSK;CSNK1A1;CSNK1A1L;CSNK1D;CSNK1E;CSNK1G1;CSNK1G2;CSNK1G3;CSNK2A1;CSNK2A2;CSNK2A3;DAPK1;DAPK2;DAPK3;DCLK1;DCLK2;DCLK3;DDR1;DDR2;DMPK;DSTYK;DYRK1A;DYRK1B;DYRK2;DYRK3;DYRK4;EGFR;EIF2AK1;EIF2AK2;EIF2AK3;EIF2AK4;EIF2AK4-b;EPHA1;EPHA10;EPHA2;EPHA3;EPHA4;EPHA5;EPHA6;EPHA7;EPHA8;EPHB1;EPHB2;EPHB3;EPHB4;EPHB6;ERBB2;ERBB3;ERBB4;ERN1;ERN2;FER;FES;FGFR1;FGFR2;FGFR3;FGFR4;FGR;FLT1;FLT3;FLT4;FRK;FYN;GAK;GRK1;GRK2;GRK3;GRK4;GRK5;GRK6;GRK7;GSK3A;GSK3B;GUCY2C;GUCY2D;GUCY2F;HASPIN;HCK;HIPK1;HIPK2;HIPK3;HIPK4;HUNK;ICK;IGF1R;IKBKB;IKBKE;ILK;INSR;INSRR;IRAK1;IRAK2;IRAK3;IRAK4;ITK;JAK1;JAK1-b;JAK2;JAK2-b;JAK3;JAK3-b;KALRN;KDR;KIT;KSR1;KSR2;LATS1;LATS2;LCK;LIMK1;LIMK2;LMTK2;LMTK3;LRRK1;LRRK2;LTK;LYN;MAK;MAP2K1;MAP2K2;MAP2K3;MAP2K4;MAP2K5;MAP2K6;MAP2K7;MAP3K1;MAP3K10;MAP3K11;MAP3K12;MAP3K13;MAP3K14;MAP3K15;MAP3K19;MAP3K2;MAP3K20;MAP3K21;MAP3K3;MAP3K4;MAP3K5;MAP3K6;MAP3K7;MAP3K8;MAP3K9;MAP4K1;MAP4K2;MAP4K3;MAP4K4;MAP4K5;MAPK1;MAPK10;MAPK11;MAPK12;MAPK13;MAPK14;MAPK15;MAPK3;MAPK4;MAPK6;MAPK7;MAPK8;MAPK9;MAPKAPK2;MAPKAPK3;MAPKAPK5;MARK1;MARK2;MARK3;MARK4;MAST1;MAST2;MAST3;MAST4;MASTL;MATK;MELK;MERTK;MET;MINK1;MKNK1;MKNK2;MLKL;MOK;MOS;MST1R;MUSK;MYLK;MYLK2;MYLK3;MYLK4;MYO3A;MYO3B;NEK1;NEK10;NEK11;NEK2;NEK3;NEK4;NEK5;NEK6;NEK7;NEK8;NEK9;NIM1K;NLK;NPR1;NPR2;NRBP1;NRBP2;NRK;NTRK1;NTRK2;NTRK3;NUAK1;NUAK2;OBSCN;OBSCN-b;OXSR1;PAK1;PAK2;PAK3;PAK4;PAK5;PAK6;PAN3;PASK;PBK;PDGFRA;PDGFRB;PDIK1L;PDPK1;PDPK2P;PEAK1;PEAK3;PHKG1;PHKG2;PIK3R4;PIM1;PIM2;PIM3;PINK1;PKDCC;PKMYT1;PKN1;PKN2;PKN3;PLK1;PLK2;PLK3;PLK4;PLK5;PNCK;POMK;PRAG1;PRKAA1;PRKAA2;PRKACA;PRKACB;PRKACG;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD2;PRKD3;PRKG1;PRKG2;PRKX;PRKY;PRPF4B;PSKH1;PSKH2;PTK2;PTK2B;PTK6;PTK7;PXK;RAF1;RET;RIPK1;RIPK2;RIPK3;RIPK4;RNASEL;ROCK1;ROCK2;ROR1;ROR2;ROS1;RPS6KA1;RPS6KA1-b;RPS6KA2;RPS6KA2-b;RPS6KA3;RPS6KA3-b;RPS6KA4;RPS6KA4-b;RPS6KA5;RPS6KA5-b;RPS6KA6;RPS6KA6-b;RPS6KB1;RPS6KB2;RPS6KC1;RPS6KL1;RSKR;RYK;SBK1;SBK2;SBK3;SCYL1;SCYL2;SCYL3;SGK1;SGK2;SGK3;SIK1;SIK1B;SIK2;SIK3;SLK;SNRK;SPEG;SPEG-b;SRC;SRMS;SRPK1;SRPK2;SRPK3;STK10;STK11;STK16;STK17A;STK17B;STK24;STK25;STK26;STK3;STK31;STK32A;STK32B;STK32C;STK33;STK35;STK36;STK38;STK38L;STK39;STK4;STK40;STKLD1;STRADA;STRADB;STYK1;SYK;TAOK1;TAOK2;TAOK3;TBCK;TBK1;TEC;TEK;TESK1;TESK2;TEX14;TGFBR1;TGFBR2;TIE1;TLK1;TLK2;TNIK;TNK1;TNK2;TNNI3K;TRIB1;TRIB2;TRIB3;TRIO;TSSK1B;TSSK2;TSSK3;TSSK4;TSSK6;TTBK1;TTBK2;TTK;TTN;TXK;TYK2;TYK2-b;TYRO3;UHMK1;ULK1;ULK2;ULK3;ULK4;VRK1;VRK2;VRK3;WEE1;WEE2;WNK1;WNK2;WNK3;WNK4;YES1;ZAP70
9713,,,PK,AGC,,,,PK_AGC.png,PKA;AKT1;AKT2;AKT3;CDC42BPA;CDC42BPB;CDC42BPG;CIT;DMPK;GRK1;GRK2;GRK3;GRK4;GRK5;GRK6;GRK7;LATS1;LATS2;MAST1;MAST2;MAST3;MAST4;MASTL;PDPK1;PDPK2P;PKN1;PKN2;PKN3;PRKACA;PRKACB;PRKACG;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKG1;PRKG2;PRKX;PRKY;ROCK1;ROCK2;RPS6KA1;RPS6KA2;RPS6KA3;RPS6KA4;RPS6KA5;RPS6KA6;RPS6KB1;RPS6KB2;RPS6KC1;RPS6KL1;RSKR;SGK1;SGK2;SGK3;STK32A;STK32B;STK32C;STK38;STK38L
285,,,PK,AGC,AKT,,,PK_AGC_AKT.png,PKA;AKT1;AKT2;AKT3
90,0,P31749,PK,AGC,AKT,,AKT1 (PKBα),PK_AGC_AKT__AKT1.png,PKA;AKT1
36,0,P31751,PK,AGC,AKT,,AKT2 (PKBβ),PK_AGC_AKT__AKT2.png,PKA;AKT2
159,0,Q9Y243,PK,AGC,AKT,,AKT3 (PKBγ),PK_AGC_AKT__AKT3.png,PKA;AKT3
863,,,PK,AGC,DMPK,,,PK_AGC_DMPK.png,PKA;CDC42BPA;CDC42BPB;CDC42BPG;CIT;DMPK;ROCK1;ROCK2
169,,,PK,AGC,DMPK,CRIK,,PK_AGC_DMPK_CRIK.png,PKA;CIT
169,0,O14578,PK,AGC,DMPK,CRIK,CIT (CRIK),PK_AGC_DMPK_CRIK_CIT.png,PKA;CIT
370,,,PK,AGC,DMPK,GEK,,PK_AGC_DMPK_GEK.png,PKA;CDC42BPA;CDC42BPB;CDC42BPG;DMPK
113,1,Q5VT25,PK,AGC,DMPK,GEK,CDC42BPA (MRCKα),PK_AGC_DMPK_GEK_CDC42BPA.png,PKA;CDC42BPA
141,1,Q9Y5S2,PK,AGC,DMPK,GEK,CDC42BPB (MRCKβ),PK_AGC_DMPK_GEK_CDC42BPB.png,PKA;CDC42BPB
55,1,Q6DT37,PK,AGC,DMPK,GEK,CDC42BPG (DMPK2),PK_AGC_DMPK_GEK_CDC42BPG.png,PKA;CDC42BPG
61,0,Q09013,PK,AGC,DMPK,GEK,DMPK,PK_AGC_DMPK_GEK_DMPK.png,PKA;DMPK
324,,,PK,AGC,DMPK,ROCK,,PK_AGC_DMPK_ROCK.png,PKA;ROCK1;ROCK2
158,0,Q13464,PK,AGC,DMPK,ROCK,ROCK1,PK_AGC_DMPK_ROCK_ROCK1.png,PKA;ROCK1
166,0,O75116,PK,AGC,DMPK,ROCK,ROCK2,PK_AGC_DMPK_ROCK_ROCK2.png,PKA;ROCK2
771,,,PK,AGC,GRK,,,PK_AGC_GRK.png,PKA;GRK1;GRK2;GRK3;GRK4;GRK5;GRK6;GRK7
323,,,PK,AGC,GRK,BARK,,PK_AGC_GRK_BARK.png,PKA;GRK2;GRK3
143,0,P25098,PK,AGC,GRK,BARK,GRK2 (BARK1),PK_AGC_GRK_BARK_GRK2.png,PKA;GRK2
180,0,P35626,PK,AGC,GRK,BARK,GRK3 (BARK2),PK_AGC_GRK_BARK_GRK3.png,PKA;GRK3
448,,,PK,AGC,GRK,GRK,,PK_AGC_GRK_GRK.png,PKA;GRK1;GRK4;GRK5;GRK6;GRK7
0,0,Q15835,PK,AGC,GRK,GRK,GRK1 (RHOK),PK_AGC_GRK_GRK_GRK1.png,PKA;GRK1
27,0,P32298,PK,AGC,GRK,GRK,GRK4,PK_AGC_GRK_GRK_GRK4.png,PKA;GRK4
228,0,P34947,PK,AGC,GRK,GRK,GRK5,PK_AGC_GRK_GRK_GRK5.png,PKA;GRK5
93,0,P43250,PK,AGC,GRK,GRK,GRK6,PK_AGC_GRK_GRK_GRK6.png,PKA;GRK6
100,0,Q8WTQ7,PK,AGC,GRK,GRK,GRK7,PK_AGC_GRK_GRK_GRK7.png,PKA;GRK7
647,,,PK,AGC,MAST,,,PK_AGC_MAST.png,PKA;MAST1;MAST2;MAST3;MAST4;MASTL
